user_id,user_categories,user_shops,user_brands,user_intentions,user_profile,user_group,user_gender,user_age,user_consumption_1,user_consumption_2,user_is_occupied,user_geography,item_id,item_category,item_shop,item_intention,item_brand,user_item_categories,user_item_shops,user_item_brands,user_item_intentions,position,click,conversion
361598,450878,2926097,3817292,3921757,3438685,3438762,3438769,3438774,3438778,3438782,3864885,3864888,7469547,8316856,8750713,9092474,9231482,9355093,,9914424,10065505,9351665,0,0
414158,452512,480275,3447123,3899511,,,,,,,,,7374743,8316372,8729855,9103567,,9354632,,,10036042,9351665,0,0
219937,445232,788270,3505383,3907245,3438669,3438761,3438769,3438773,3438778,3438782,3864885,3864888,6558020,8316372,8696246,9027850,9323428,,,,,9351666,0,0
184404,449529,1419197,3860472,3892293,3438658,3438763,3438769,3438775,,3438782,3864885,3864888,4634798,8316149,8730525,9113476,9178234,,,,,9351666,0,0
52664,449137,729819,3467036,3941161,,,,,,,,,5231715,8316592,8944190,9083096,9250885,9354839,,,,9351665,0,0
122895,451537,1028668,3737810,3941161,3438662,3438761,3438769,3438773,3438777,3438781,3864885,3864889,6446513,8317196,8943239,9044223,9317939,9355423,,,,9351665,0,0
140270,450896,2332009,3857908,3911728,3438658,3438761,3438769,3438773,,3438782,3864885,3864889,4102075,8316392,8953746,9066094,9285727,9354650,,,10044888,9351665,0,0
186084,449113,3043239,3611625,3911728,3438658,3438767,3438768,3438773,3438777,3438781,3864885,,8153774,8316591,8711585,9063639,9209307,9354838,,,10042634,9351666,0,0
68447,449924,1986400,3812616,3933077,3438658,3438760,3438769,3438772,,3438781,3864885,,7658136,8316392,8653817,9115470,,9354650,,,10090169,9351666,0,0
216488,451879,1528919,3548424,3963130,3438658,3438758,3438768,3438775,,3438782,3864885,,7657341,8316590,8559811,9074649,,9354837,,,10052707,9351666,0,0
56392,446305,3030199,3744350,3941161,3438658,3438763,3438769,3438775,,3438782,3864885,3864887,6826699,8315971,8988751,9112134,9319291,,,,,9351665,0,0
